2026-07-13 09:13:30 | INFO     | orchestrator.main         | Logging initialized: /workspaces/esxi-stealth-va/logs/assessment_20260713_091330.log
2026-07-13 09:13:30 | INFO     | orchestrator.main         | Applied scan profile 'standard'
2026-07-13 09:13:30 | INFO     | orchestrator.main         | Skipping Phase 0 (Self-Update) — resuming from 1
2026-07-13 09:13:30 | INFO     | orchestrator.main         | Starting Phase 1: Initialization
2026-07-13 09:13:30 | INFO     | orchestrator.core.plugin  | [AUTHORIZED-ASSESSMENT] Phase 1 (Initialization): Starting phase
2026-07-13 09:13:30 | INFO     | orchestrator.core.plugin  | ============================================================
2026-07-13 09:13:30 | INFO     | orchestrator.core.plugin  |   Phase 1: Initialization
2026-07-13 09:13:30 | INFO     | orchestrator.core.plugin  | ============================================================
2026-07-13 09:13:30 | INFO     | orchestrator.core.plugin  | [AUTHORIZED-ASSESSMENT] Phase 1 (Initialization): Authorized Vulnerability Assessment starting. Change Request: . Target: 10.251.2.28
2026-07-13 09:13:30 | INFO     | orchestrator.phase1_init  | Output directories created.
2026-07-13 09:13:30 | INFO     | orchestrator.phase1_init  | Target: 10.251.2.28 (sl001983.de.internal.net)
2026-07-13 09:13:30 | INFO     | orchestrator.phase1_init  | Environment: Internal / Isolated ESXi Network
2026-07-13 09:13:30 | INFO     | orchestrator.phase1_init  | Run ID: d0fdf94d-96d0-4531-8b24-5737f727c59a
2026-07-13 09:13:30 | INFO     | orchestrator.phase1_init  | Checking external tool availability...
2026-07-13 09:13:30 | WARNING  | orchestrator.phase1_init  |   ✗ nmap not found
2026-07-13 09:13:30 | INFO     | orchestrator.phase1_init  |   ✓ curl found in PATH
2026-07-13 09:13:30 | WARNING  | orchestrator.phase1_init  |   ✗ nuclei not found
2026-07-13 09:13:30 | WARNING  | orchestrator.phase1_init  |   ✗ testssl.sh not found
2026-07-13 09:13:30 | WARNING  | orchestrator.phase1_init  |   ✗ nikto not found
2026-07-13 09:13:30 | INFO     | orchestrator.phase1_init  | Dry-run enabled; skipping automatic tool installation and keeping tool availability as-is.
2026-07-13 09:13:30 | WARNING  | orchestrator.phase1_init  | Required tool 'nmap' is unavailable; dry-run will continue without installation.
2026-07-13 09:13:30 | WARNING  | orchestrator.phase1_init  | Required tool 'nuclei' is unavailable; dry-run will continue without installation.
2026-07-13 09:13:30 | INFO     | orchestrator.phase1_init  | Optional tool 'testssl.sh' is unavailable; skipping installation during dry-run.
2026-07-13 09:13:30 | INFO     | orchestrator.phase1_init  | Optional tool 'nikto' is unavailable; skipping installation during dry-run.
2026-07-13 09:13:30 | INFO     | orchestrator.phase1_init  | Stealth profile loaded:
2026-07-13 09:13:30 | INFO     | orchestrator.phase1_init  |   Max rate: 100 pps
2026-07-13 09:13:30 | INFO     | orchestrator.phase1_init  |   Scan delay: 50 ms
2026-07-13 09:13:30 | INFO     | orchestrator.phase1_init  |   HTTP delay: 2.0 s
2026-07-13 09:13:30 | INFO     | orchestrator.phase1_init  |   Timing template: T2
2026-07-13 09:13:30 | INFO     | orchestrator.phase1_init  |   User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36...
2026-07-13 09:13:30 | INFO     | orchestrator.phase1_init  | Phase 1 complete. Assessment initialized.
2026-07-13 09:13:30 | INFO     | orchestrator.core.plugin  | [AUTHORIZED-ASSESSMENT] Phase 1 (Initialization): Phase completed
2026-07-13 09:13:30 | DEBUG    | orchestrator.core.plugin  | Stealth delay: 5.00s (general)
2026-07-13 09:13:35 | DEBUG    | orchestrator.models       | Report state flushed to output/assessment_state.json
2026-07-13 09:13:35 | DEBUG    | orchestrator.main         | State checkpoint saved to output/assessment_state.json
2026-07-13 09:13:35 | INFO     | orchestrator.main         | Dry-run complete. Exiting after Phase 1.
2026-07-13 09:13:35 | INFO     | orchestrator.main         | Pipeline completed in 5.0s (0.1m)
